MatchTime;UT2004Time;Health;Armor;Adrenaline;Score;Deaths;Suicides;Killed;WasKilled;NumKillsWithoutDeath;Team;TeamScore;ItemsCollect;WeaponsCollect;AmmoCollect;HealthCollect;ArmorCollect;ShieldCollect;AdrenalineCollect;OtherCollect;TimeMoving;TimeShooting;DoubleDamageCount;DoubleDamageTime;TraveledDistance;Combo;HasDoubleDamage;IsShooting;Velocity;Location_x;Location_y;Location_z;XWeapons_ShieldGunPickup_TimeUsed;XWeapons_RedeemerPickup_TimeUsed;XWeapons_ShockRiflePickup_TimeUsed;XWeapons_TransPickup_TimeUsed;XWeapons_MinigunPickup_TimeUsed;XWeapons_AssaultRiflePickup_TimeUsed;XWeapons_RocketLauncherPickup_TimeUsed;XWeapons_BioRiflePickup_TimeUsed;XWeapons_LinkGunPickup_TimeUsed;UTClassic_ClassicSniperRiflePickup_TimeUsed;XWeapons_SniperRiflePickup_TimeUsed;OnslaughtFull_ONSPainterPickup_TimeUsed;Onslaught_ONSGrenadePickup_TimeUsed;Onslaught_ONSAVRiLPickup_TimeUsed;XWeapons_FlakCannonPickup_TimeUsed;XWeapons_SuperShockRiflePickup_TimeUsed;Onslaught_ONSMineLayerPickup_TimeUsed;XWeapons_PainterPickup_TimeUsed;Event;EventParams...
0,270;14,070;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0,000;0;0,000;0,000;None;0;0;0,000;1399,580;11944,150;-3201,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,440;14,240;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,170;0,000;0;0,000;4,688;None;0;0;352,323;1399,360;11939,990;-3198,850;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,710;14,510;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,440;0,000;0;0,000;124,422;None;0;0;534,327;1394,510;11847,350;-3123,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,970;14,770;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,700;0,000;0;0,000;256,827;None;0;0;474,482;1388,520;11733,100;-3056,500;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1,230;15,030;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,960;0,000;0;0,000;376,665;None;0;0;470,779;1382,250;11613,440;-3054,660;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1,490;15,290;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,220;0,000;0;0,000;511,175;None;0;0;584,266;1376,030;11494,770;-3117,680;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1,750;15,550;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,480;0,000;0;0,000;630,268;None;0;0;32,405;1371,440;11407,160;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
2,010;15,810;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,740;0,000;0;0,000;712,211;None;0;0;440,003;1375,730;11488,990;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
2,270;16,070;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,000;0,000;0;0,000;827,409;None;0;0;440,003;1381,760;11604,030;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
2,540;16,340;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,270;0,000;0;0,000;942,116;None;0;0;440,003;1387,760;11718,580;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
2,800;16,600;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,530;0,000;0;0,000;1057,304;None;0;0;440,003;1393,790;11833,610;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
3,060;16,860;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,790;0,000;0;0,000;1164,400;None;0;0;223,456;1399,390;11940,560;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
3,320;17,120;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,050;0,000;0;0,000;1222,840;None;0;0;440,003;1396,330;11882,200;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
3,580;17,380;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,310;0,000;0;0,000;1338,038;None;0;0;440,003;1390,310;11767,160;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
3,850;17,650;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,580;0,000;0;0,000;1453,226;None;0;0;440,003;1384,280;11652,130;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
4,110;17,910;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,840;0,000;0;0,000;1567,943;None;0;0;440,003;1378,280;11537,570;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
4,370;18,170;100;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,100;0,000;0;0,000;1683,130;None;0;0;440,003;1372,250;11422,540;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
4,370;18,170;100;0;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4,100;0,000;0;0,000;1683,130;None;0;0;440,003;1372,250;11422,540;-3198,220;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;ITEM_PICKEDUP;XWeapons.SniperRiflePickup;Weapon
