MatchTime;UT2004Time;Health;Armor;Adrenaline;Score;Deaths;Suicides;Killed;WasKilled;NumKillsWithoutDeath;Team;TeamScore;ItemsCollect;WeaponsCollect;AmmoCollect;HealthCollect;ArmorCollect;ShieldCollect;AdrenalineCollect;OtherCollect;TimeMoving;TimeShooting;DoubleDamageCount;DoubleDamageTime;TraveledDistance;Combo;HasDoubleDamage;IsShooting;Velocity;Location_x;Location_y;Location_z;XWeapons_ShieldGunPickup_TimeUsed;XWeapons_RedeemerPickup_TimeUsed;XWeapons_ShockRiflePickup_TimeUsed;XWeapons_TransPickup_TimeUsed;XWeapons_MinigunPickup_TimeUsed;XWeapons_AssaultRiflePickup_TimeUsed;XWeapons_RocketLauncherPickup_TimeUsed;XWeapons_BioRiflePickup_TimeUsed;XWeapons_LinkGunPickup_TimeUsed;UTClassic_ClassicSniperRiflePickup_TimeUsed;XWeapons_SniperRiflePickup_TimeUsed;OnslaughtFull_ONSPainterPickup_TimeUsed;Onslaught_ONSGrenadePickup_TimeUsed;Onslaught_ONSAVRiLPickup_TimeUsed;XWeapons_FlakCannonPickup_TimeUsed;XWeapons_SuperShockRiflePickup_TimeUsed;Onslaught_ONSMineLayerPickup_TimeUsed;XWeapons_PainterPickup_TimeUsed;Event;EventParams...
0,270;19,340;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0,000;0;0,000;0,000;None;0;0;0,000;1405,890;9955,620;-3193,800;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,530;19,600;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,260;0,000;0;0,000;70,490;None;0;0;300,381;1405,380;10003,940;-3142,480;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,790;19,860;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,520;0,000;0;0,000;176,894;None;0;0;551,447;1404,360;10098,270;-3093,260;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1,050;20,120;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,780;0,000;0;0,000;304,378;None;0;0;460,926;1403,100;10216,260;-3045,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1,310;20,380;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,040;0,000;0;0,000;424,397;None;0;0;492,092;1401,830;10335,250;-3060,630;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1,570;20,640;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,300;0,000;0;0,000;565,860;None;0;0;625,955;1400,570;10452,740;-3139,410;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1,820;20,890;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,550;0,000;0;0,000;654,343;None;0;0;102,506;1399,860;10518,900;-3198,160;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
2,080;21,150;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,810;0,000;0;0,000;745,178;None;0;0;439,985;1400,830;10428,070;-3198,160;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
2,340;21,410;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,070;0,000;0;0,000;858,923;None;0;0;440,005;1402,050;10314,340;-3196,740;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
2,600;21,670;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,330;0,000;0;0,000;973,173;None;0;0;440,005;1403,270;10200,120;-3194,470;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
2,860;21,930;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,590;0,000;0;0,000;1087,882;None;0;0;440,005;1404,500;10085,420;-3193,640;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
3,120;22,190;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,850;0,000;0;0,000;1202,100;None;0;0;440,005;1405,720;9971,210;-3194,120;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
3,380;22,450;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,110;0,000;0;0,000;1248,891;None;0;0;201,058;1405,720;9971,510;-3147,330;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
3,630;22,700;100;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,360;0,000;0;0,000;1317,728;None;0;0;458,085;1405,140;10025,760;-3104,960;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
